FROM STATION ID,Station Name,Total Docks,Docks in Service,Status,Latitude,Longitude,Location,ZIP
47,State St & Kinzie St,31,31,In Service,41.88937547,-87.62707651,"(41.889375466631684, -87.62707650661469)",60611
143,Sedgwick St & Webster Ave,15,15,In Service,41.922167,-87.638888,"(41.922167, -87.638888)",60614
306,Sheridan Rd & Buena Ave,19,19,In Service,41.958494,-87.654966,"(41.958494, -87.654966)",60613
226,Racine Ave & Belmont Ave,15,15,In Service,41.939743,-87.658865,"(41.939743, -87.658865)",60657
220,Clark St & Drummond Pl,23,23,In Service,41.931248,-87.644336,"(41.931248, -87.644336)",60614
123,California Ave & Milwaukee Ave,15,15,In Service,41.922695,-87.697153,"(41.922695, -87.697153)",60647
194,Wabash Ave & Wacker Pl,19,19,In Service,41.886875,-87.62603,"(41.886875, -87.62603)",60601
219,Damen Ave & Cortland St,19,19,In Service,41.915983,-87.677335,"(41.915983, -87.677335)",60622
231,Sheridan Rd & Montrose Ave,23,23,In Service,41.96167,-87.65464,"(41.96167, -87.65464)",60613
158,Milwaukee Ave & Wabansia Ave,15,15,In Service,41.912616,-87.681391,"(41.912616, -87.681391)",60647
90,Millennium Park,47,47,In Service,41.8810317,-87.62408432,"(41.8810317, -87.62408432)",60603
340,Clark St & Wrightwood Ave,15,15,In Service,41.929546,-87.643118,"(41.929546, -87.643118)",60614
36,Franklin St & Jackson Blvd,39,39,In Service,41.87770796,-87.63532114,"(41.8777079559, -87.6353211408)",60606
67,Sheffield Ave & Fullerton Ave,27,27,In Service,41.92560188,-87.65370804,"(41.9256018819, -87.6537080423)",60614
337,Clark St & Chicago Ave,19,19,In Service,41.89675,-87.63089,"(41.89675, -87.63089)",60610
49,Dearborn St & Monroe St,39,39,In Service,41.88131982,-87.62952092,"(41.881319815, -87.6295209193)",60603
324,Stockton Dr & Wrightwood Ave,15,15,In Service,41.93132,-87.638742,"(41.93132, -87.638742)",60614
234,Clark St & Montrose Ave,19,19,In Service,41.961588,-87.666036,"(41.961588, -87.666036)",60613
75,Canal St & Jackson Blvd,43,43,In Service,41.877245,-87.639366,"(41.877245, -87.639366)",60607
260,Kedzie Ave & Milwaukee Ave,35,35,In Service,41.929567,-87.707857,"(41.929567, -87.707857)",60647
302,Sheffield Ave & Wrightwood Ave,31,31,In Service,41.928712,-87.653833,"(41.928712, -87.653833)",60614
304,Broadway & Waveland Ave,15,15,In Service,41.949074,-87.648636,"(41.949074, -87.648636)",60613
216,California Ave & Division St,15,15,In Service,41.903029,-87.697474,"(41.903029, -87.697474)",60622
42,Wabash Ave & Cermak Rd,11,11,In Service,41.852619,-87.626488,"(41.852619, -87.626488)",60616
195,Columbus Dr & Randolph St,55,55,In Service,41.884728,-87.619521,"(41.884728, -87.619521)",60601
303,Broadway & Cornelia Ave,23,23,In Service,41.945529,-87.646439,"(41.945529, -87.646439)",60657
319,Greenview Ave & Diversey Pkwy,15,15,In Service,41.93258963,-87.66593635,"(41.93258963429789, -87.66593635082245)",60614
91,Clinton St & Washington Blvd,31,31,In Service,41.88338,-87.64117,"(41.88338, -87.64117)",60661
185,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)",60647
28,Larrabee St & Menomonee St,15,15,In Service,41.91468,-87.64332,"(41.91468, -87.64332)",60614
81,Daley Center Plaza,20,20,In Service,41.884241,-87.629634,"(41.884241, -87.629634)",60602
283,LaSalle St & Jackson Blvd,35,35,In Service,41.878166,-87.631929,"(41.878166, -87.631929)",60604
45,Michigan Ave & Ida B Wells Dr,15,15,In Service,41.876243,-87.624426,"(41.876243, -87.624426)",60605
273,Michigan Ave & 18th St,23,23,In Service,41.857813,-87.62455,"(41.857813, -87.62455)",60616
192,Canal St & Adams St,47,47,In Service,41.879255,-87.639904,"(41.879255, -87.639904)",60606
71,Sangamon St & Lake St,23,23,In Service,41.88577925,-87.65102461,"(41.88577925240433, -87.65102460980414)",60607
300,Broadway & Barry Ave,19,19,In Service,41.93758232,-87.64409781,"(41.93758231600629, -87.6440978050232)",60657
326,Clark St & Leland Ave,19,19,In Service,41.96705643,-87.66699046,"(41.96705642894563, -87.6669904589653)",60640
236,Sedgwick St & Schiller St,15,15,In Service,41.907626,-87.638566,"(41.907626, -87.638566)",60610
134,Peoria St & Jackson Blvd,19,19,In Service,41.8776416,-87.64961779,"(41.8776415962753, -87.64961779117584)",60607
233,Sangamon St & Washington Blvd,15,15,In Service,41.883165,-87.6511,"(41.883165, -87.6511)",60607
186,Ogden Ave & Race Ave,15,15,In Service,41.891795,-87.658751,"(41.891795, -87.658751)",60642
122,Ogden Ave & Congress Pkwy,15,15,In Service,41.87501,-87.67328,"(41.87501, -87.67328)",60612
58,Elston Ave & Cortland St,23,23,In Service,41.91643343,-87.66674638,"(41.91643342912655, -87.66674637794495)",60642
349,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)",60614
285,Wood St & Hubbard St,19,19,In Service,41.889899,-87.671473,"(41.889899, -87.671473)",60622
343,Racine Ave & Wrightwood Ave,15,15,In Service,41.928887,-87.658971,"(41.928887, -87.658971)",60614
77,Clinton St & Madison St,31,31,In Service,41.882242,-87.641066,"(41.882242, -87.641066)",60661
299,Halsted St & Roscoe St,15,15,In Service,41.94367,-87.64895,"(41.94367, -87.64895)",60657
274,Racine Ave & 15th St,15,15,In Service,41.861267,-87.656625,"(41.861267, -87.656625)",60612
37,Dearborn St & Adams St,19,19,In Service,41.87935636,-87.62979104,"(41.8793563587, -87.6297910363)",60603
167,Damen Ave & Coulter St,7,7,In Service,41.8492,-87.67564,"(41.8492, -87.67564)",60608
292,Southport Ave & Clark St,11,11,In Service,41.957081,-87.664199,"(41.957081, -87.664199)",60613
80,Aberdeen St & Monroe St,19,19,In Service,41.880419,-87.655519,"(41.880419, -87.655519)",60607
290,Kedzie Ave & Palmer Ct,15,15,In Service,41.921525,-87.707322,"(41.921525, -87.707322)",60647
135,Halsted St & 21st St,11,11,In Service,41.85377981,-87.64660299,"(41.85377981072743, -87.6466029882431)",60608
146,Loomis St & Jackson Blvd,19,19,In Service,41.877945,-87.662007,"(41.877945, -87.662007)",60607
164,Franklin St & Lake St,27,27,In Service,41.885837,-87.6355,"(41.885837, -87.6355)",60606
336,Cottage Grove Ave & 47th St,15,15,In Service,41.809855,-87.606755,"(41.809855, -87.606755)",60653
84,Milwaukee Ave & Grand Ave,19,19,In Service,41.891578,-87.648384,"(41.891578, -87.648384)",60642
110,Dearborn St & Erie St,27,27,In Service,41.893992,-87.629318,"(41.893992, -87.629318)",60654
62,McCormick Place,27,27,In Service,41.85137517,-87.61883465,"(41.8513751729, -87.6188346489)",60616
99,McClurg Ct & Ohio St,19,19,In Service,41.89259212,-87.61728913,"(41.892592119709725, -87.61728912591934)",60611
197,Michigan Ave & Madison St,19,19,In Service,41.882134,-87.625125,"(41.882134, -87.625125)",60602
24,Fairbanks Ct & Grand Ave,15,15,In Service,41.89184737,-87.6205802,"(41.89184737210993, -87.62058019638062)",60611
342,Wolcott Ave & Polk St,23,23,In Service,41.871262,-87.673688,"(41.871262, -87.673688)",60612
242,Damen Ave & Leland Ave,15,15,In Service,41.967094,-87.679028,"(41.967094, -87.679028)",60625
317,Wood St & Taylor St (Temp),23,23,In Service,41.86926522,-87.67373085,"(41.869265218438194, -87.67373085021973)",60612
175,Wells St & Polk St,19,19,In Service,41.87273154,-87.63351649,"(41.872731542263075, -87.63351649045944)",60607
232,Pine Grove Ave & Waveland Ave,23,23,In Service,41.94947274,-87.64645279,"(41.94947274088333, -87.64645278453827)",60613
166,Ashland Ave & Wrightwood Ave,15,15,In Service,41.92883,-87.668507,"(41.92883, -87.668507)",60614
23,Orleans St & Elm St,15,15,In Service,41.902924,-87.637715,"(41.902924, -87.637715)",60610
332,Burling St & Diversey Pkwy,19,19,In Service,41.93314,-87.64776,"(41.93314, -87.64776)",60657
198,Green St & Madison St,27,27,In Service,41.881892,-87.648789,"(41.881892, -87.648789)",60607
168,Michigan Ave & 14th St,19,19,In Service,41.864059,-87.623727,"(41.864059, -87.623727)",60605
74,Kingsbury St & Erie St,23,23,In Service,41.89380806,-87.64169723,"(41.89380805624359, -87.64169722795485)",60654
339,Emerald Ave & 31st St,11,11,In Service,41.838198,-87.645143,"(41.838198, -87.645143)",60616
308,Seeley Ave & Roscoe St,11,11,In Service,41.943403,-87.679618,"(41.943403, -87.679618)",60618
59,Wabash Ave & Roosevelt Rd,23,23,In Service,41.867227,-87.625961,"(41.867227, -87.625961)",60605
98,LaSalle St & Washington St,15,15,In Service,41.882664,-87.63253,"(41.882664, -87.63253)",60602
225,Halsted St & Dickens Ave,23,23,In Service,41.919936,-87.64883,"(41.919936, -87.64883)",60614
287,Franklin St & Monroe St,31,31,In Service,41.880317,-87.635185,"(41.880317, -87.635185)",60606
114,Sheffield Ave & Waveland Ave,27,27,In Service,41.949399,-87.654529,"(41.949399, -87.654529)",60613
212,Wells St & Hubbard St,31,31,In Service,41.889906,-87.634266,"(41.889906, -87.634266)",60654
53,Wells St & Huron St,27,27,In Service,41.894722,-87.634362,"(41.894722, -87.634362)",60654
16,Paulina Ave & North Ave,15,15,In Service,41.90985465,-87.66993016,"(41.90985465216731, -87.66993016004562)",60622
229,Southport Ave & Roscoe St,19,19,In Service,41.943739,-87.66402,"(41.943739, -87.66402)",60657
329,DuSable Lake Shore Dr & Diversey Pkwy,23,23,In Service,41.932588,-87.636427,"(41.932588, -87.636427)",60614
256,Broadway & Sheridan Rd,15,15,In Service,41.952833,-87.649993,"(41.952833, -87.649993)",60613
177,Theater on the Lake,31,31,In Service,41.926277,-87.630834,"(41.926277, -87.630834)",60614
106,State St & Pearson St,27,27,In Service,41.897448,-87.628722,"(41.897448, -87.628722)",60610
313,Lakeview Ave & Fullerton Pkwy,19,19,In Service,41.925858,-87.638973,"(41.925858, -87.638973)",60614
183,Damen Ave & Thomas St (Augusta Blvd),23,23,In Service,41.901315,-87.677409,"(41.901315, -87.677409)",60622
165,Clark St & Grace St,23,23,In Service,41.95078,-87.659172,"(41.95078, -87.659172)",60613
296,Broadway & Belmont Ave,19,19,Not In Service,41.940106,-87.645451,"(41.940106, -87.645451)",60657
35,Streeter Dr & Grand Ave,47,47,In Service,41.892278,-87.612043,"(41.892278, -87.612043)",60611
144,Larrabee St & Webster Ave,19,19,In Service,41.921822,-87.64414,"(41.921822, -87.64414)",60614
230,Wood St & Webster Ave,19,19,In Service,41.92105673,-87.67279744,"(41.92105672992757, -87.67279744148254)",60614
254,Pine Grove Ave & Irving Park Rd,15,15,In Service,41.954383,-87.648043,"(41.954383, -87.648043)",60613
21,Aberdeen St & Jackson Blvd,23,23,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)",60607
137,Morgan Ave & 14th Pl,15,15,In Service,41.862378,-87.651062,"(41.862378, -87.651062)",60608
44,State St & Randolph St,23,23,In Service,41.88462107,-87.62783423,"(41.88462107257936, -87.62783423066139)",60602
15,Racine Ave & 18th St,15,15,In Service,41.858166,-87.656495,"(41.858166, -87.656495)",60608
100,Orleans St & Merchandise Mart Plaza,35,35,In Service,41.888243,-87.63639,"(41.888243, -87.63639)",60654
227,Southport Ave & Waveland Ave,23,23,In Service,41.94815,-87.66394,"(41.94815, -87.66394)",60613
294,Broadway & Berwyn Ave,15,15,In Service,41.978353,-87.659753,"(41.978353, -87.659753)",60640
347,Ashland Ave & Grace St,15,15,In Service,41.950687,-87.6687,"(41.950687, -87.6687)",60613
267,Lake Park Ave & 47th St,15,15,In Service,41.809443,-87.591875,"(41.809443, -87.591875)",60615
224,Halsted St & Willow St,19,19,In Service,41.913865,-87.648755,"(41.913865, -87.648755)",60614
131,Lincoln Ave & Belmont Ave (Temp),15,15,In Service,41.93953162,-87.67111436,"(41.93953161982257, -87.6711143553257)",60657
156,Clark St & Wellington Ave,15,15,In Service,41.93649682,-87.64753866,"(41.9364968219, -87.6475386582)",60657
97,Field Museum,55,55,In Service,41.865312,-87.617867,"(41.865312, -87.617867)",60605
325,Clark St & Winnemac Ave,19,19,In Service,41.97334764,-87.66785547,"(41.973347640473044, -87.6678554713726)",60640
27,Larrabee St & North Ave,19,19,In Service,41.91021,-87.6435,"(41.91021, -87.6435)",60610
86,Eckhart Park,19,19,In Service,41.89637337,-87.66098386,"(41.89637337, -87.66098386)",60642
85,Michigan Ave & Oak St,23,23,In Service,41.90096039,-87.62377664,"(41.90096039, -87.62377664)",60611
188,Greenview Ave & Fullerton Ave,15,15,In Service,41.92533,-87.6658,"(41.92533, -87.6658)",60614
312,Clarendon Ave & Gordon Ter,15,15,In Service,41.95786652,-87.64950514,"(41.95786652415174, -87.64950513839722)",60613
46,Wells St & Walton St,19,19,In Service,41.89993001,-87.63443007,"(41.89993001, -87.63443007)",60610
327,Sheffield Ave & Webster Ave,19,19,In Service,41.92154,-87.653818,"(41.92154, -87.653818)",60614
239,Western Ave & Leland Ave,19,19,In Service,41.9663998,-87.68870428,"(41.966399801840986, -87.68870428204536)",60625
17,Honore St & Division St,23,23,In Service,41.903119,-87.673935,"(41.903119, -87.673935)",60622
258,Logan Blvd & Elston Ave,27,27,In Service,41.929465,-87.684158,"(41.929465, -87.684158)",60647
129,Blue Island Ave & 18th St,15,15,In Service,41.857556,-87.661535,"(41.857556, -87.661535)",60608
57,Clinton St & Roosevelt Rd,15,15,In Service,41.86711778,-87.64108796,"(41.8671177825, -87.6410879593)",60607
154,Southport Ave & Belmont Ave,15,15,In Service,41.93947775,-87.66374767,"(41.93947775040509, -87.6637476682663)",60657
248,Woodlawn Ave & 55th St,19,19,In Service,41.795264,-87.596471,"(41.795264, -87.596471)",60615
121,Blackstone Ave & Hyde Park Blvd,19,19,In Service,41.802562,-87.590368,"(41.802562, -87.590368)",60615
191,Canal St & Monroe St,27,27,In Service,41.88169,-87.63953,"(41.88169, -87.63953)",60606
20,Sheffield Ave & Kingsbury St,15,15,In Service,41.910522,-87.653106,"(41.910522, -87.653106)",60642
43,Michigan Ave & Washington St,43,43,In Service,41.88398407,-87.62468398,"(41.8839840647265, -87.6246839761734)",60602
153,Southport Ave & Wellington Ave,19,19,In Service,41.935733,-87.663576,"(41.935733, -87.663576)",60657
309,Leavitt St & Armitage Ave,11,11,In Service,41.917805,-87.682437,"(41.917805, -87.682437)",60647
92,Carpenter St & Huron St,19,19,In Service,41.894556,-87.653449,"(41.894556, -87.653449)",60642
190,Southport Ave & Wrightwood Ave,15,15,In Service,41.928773,-87.663913,"(41.928773, -87.663913)",60614
346,Ada St & Washington Blvd,15,15,In Service,41.88283,-87.661206,"(41.88283, -87.661206)",60612
241,Morgan St & Polk St,19,19,In Service,41.871737,-87.65103,"(41.871737, -87.65103)",60607
140,Dearborn Pkwy & Delaware Pl,19,19,In Service,41.898969,-87.629912,"(41.898969, -87.629912)",60610
276,California Ave & North Ave,11,11,In Service,41.9104754,-87.6968944,"(41.9104754, -87.6968944)",60647
284,Michigan Ave & Jackson Blvd,23,23,In Service,41.87785,-87.62408,"(41.87785, -87.62408)",60604
338,Calumet Ave & 18th St,15,15,In Service,41.857611,-87.619407,"(41.857611, -87.619407)",60616
257,Lincoln Ave & Waveland Ave,15,15,In Service,41.948797,-87.675278,"(41.948797, -87.675278)",60613
138,Clybourn Ave & Division St,15,15,In Service,41.904613,-87.640552,"(41.904613, -87.640552)",60610
297,Paulina St & Montrose Ave,15,15,In Service,41.961507,-87.671387,"(41.961507, -87.671387)",60613
321,Wabash Ave & 9th St,19,19,In Service,41.870769,-87.625734,"(41.870769, -87.625734)",60605
223,Clifton Ave & Armitage Ave,15,15,In Service,41.918216,-87.656936,"(41.918216, -87.656936)",60614
22,May St & Taylor St,15,15,In Service,41.8694821,-87.6554864,"(41.8694821, -87.6554864)",60607
205,Paulina St & 18th St,15,15,In Service,41.857901,-87.668745,"(41.857901, -87.668745)",60608
108,Halsted St & Polk St,19,19,In Service,41.87184,-87.64664,"(41.87184, -87.64664)",60607
32,Racine Ave & Congress Pkwy,19,19,In Service,41.87464,-87.65703,"(41.87464, -87.65703)",60607
33,State St & Van Buren St,27,27,In Service,41.877181,-87.627844,"(41.877181, -87.627844)",60604
204,Prairie Ave & Garfield Blvd,11,11,In Service,41.794853,-87.618691,"(41.794853, -87.618691)",60615
68,Clinton St & Tilden St,23,23,In Service,41.875885,-87.640795,"(41.875885, -87.640795)",60607
109,900 W Harrison St,19,19,In Service,41.874754,-87.649807,"(41.874754, -87.649807)",60607
